Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"SK_FRBD","40007.0",Boolean,1,RO,300,,,,,,,,,,"",
"SK_TMOUT","40007.9",Boolean,1,RO,300,,,,,,,,,,"",
"SK_TO_TIME","40028",Short,1,R/W,300,,,,,,,,,,"",
"SQUEESE","40048.13",Boolean,1,R/W,300,,,,,,,,,,"",
"STAGE","40001",Short,1,RO,300,,,,,,,,,,"",
"START_FRBD","40007.1",Boolean,1,RO,300,,,,,,,,,,"",
"STOP","40049.2",Boolean,1,R/W,300,,,,,,,,,,"",
"SW_DWN_LMT","40005.15",Boolean,1,RO,300,,,,,,,,,,"",
"SW_ST_TIME","40026",Short,1,R/W,300,,,,,,,,,,"",
"SW_SW_TIME","40027",Short,1,R/W,300,,,,,,,,,,"",
"SW_UP_LMT","40005.0",Boolean,1,RO,300,,,,,,,,,,"",
"SWD_TO_TM","40044",Short,1,R/W,300,,,,,,,,,,"",
"SWDW_TMOUT","40007.4",Boolean,1,RO,300,,,,,,,,,,"",
"SWU_TO_TM","40045",Short,1,R/W,300,,,,,,,,,,"",
"SWUP_TMOUT","40007.5",Boolean,1,RO,300,,,,,,,,,,"",
"SXB_TO_TM","40043",Short,1,R/W,300,,,,,,,,,,"",
"SXF_TO_TM","40042",Short,1,R/W,300,,,,,,,,,,"",
"SYS_ALARM","40048.0",Boolean,1,R/W,300,,,,,,,,,,"",
"T1_CHOOSE","40049.5",Boolean,1,R/W,300,,,,,,,,,,"",
"T1_CLR","40048.5",Boolean,1,R/W,300,,,,,,,,,,"",
"T1_COUNT","40011",Short,1,RO,300,,,,,,,,,,"",
"T1_RCD","40008.8",Boolean,1,RO,300,,,,,,,,,,"",
"T2_CHOOSE","40049.6",Boolean,1,R/W,300,,,,,,,,,,"",
"T2_CLR","40048.6",Boolean,1,R/W,300,,,,,,,,,,"",
"T2_COUNT","40012",Short,1,RO,300,,,,,,,,,,"",
"T2_RCD","40008.9",Boolean,1,RO,300,,,,,,,,,,"",
"T3_CHOOSE","40049.7",Boolean,1,R/W,300,,,,,,,,,,"",
"T3_CLR","40048.7",Boolean,1,R/W,300,,,,,,,,,,"",
"T3_COUNT","40013",Short,1,RO,300,,,,,,,,,,"",
"T3_RCD","40008.10",Boolean,1,RO,300,,,,,,,,,,"",
"TAKE","40048.9",Boolean,1,R/W,300,,,,,,,,,,"",
"TOTL_CLR","40048.4",Boolean,1,R/W,300,,,,,,,,,,"",
"TOTL_COUNT","40014",Long,1,RO,300,,,,,,,,,,"",
"TRS_UP","40003.0",Boolean,1,RO,300,,,,,,,,,,"",
"WATER_BWD","40002.9",Boolean,1,RO,300,,,,,,,,,,"",
"WATER_FWD","40002.8",Boolean,1,RO,300,,,,,,,,,,"",
"WT_BW_LMT","40005.14",Boolean,1,RO,300,,,,,,,,,,"",
"WT_FW_LMT","40005.13",Boolean,1,RO,300,,,,,,,,,,"",
"WTBW_TMOUT","40007.3",Boolean,1,RO,300,,,,,,,,,,"",
"WTFW_TMOUT","40007.2",Boolean,1,RO,300,,,,,,,,,,"",
"XB_CHK","40005.1",Boolean,1,RO,300,,,,,,,,,,"",
"XB_END","40005.3",Boolean,1,RO,300,,,,,,,,,,"",
"XB_TRSF","40005.2",Boolean,1,RO,300,,,,,,,,,,"",
"XHDD_TIME","40025",Short,1,R/W,300,,,,,,,,,,"",
"YJ_TMOUT","40007.13",Boolean,1,RO,300,,,,,,,,,,"",
"YJ_TO_TIME","40031",Short,1,R/W,300,,,,,,,,,,"",
"YZ_CLMT","40004.1",Boolean,1,RO,300,,,,,,,,,,"",
"YZ_DELAY","40018",Short,1,R/W,300,,,,,,,,,,"",
"YZ_DL_TIME","40019",Short,1,R/W,300,,,,,,,,,,"",
"YZ_OLMT","40004.0",Boolean,1,RO,300,,,,,,,,,,"",
"YZ_TMOUT","40007.15",Boolean,1,RO,300,,,,,,,,,,"",
"YZ_TO_TIME","40033",Short,1,R/W,300,,,,,,,,,,"",
"YZ_TO_TM","40038",Short,1,R/W,300,,,,,,,,,,"",
